	ComplexName	UniProtIDs	GeneNames
1676	G protein complex (Hdac4, Gnb1, Gng2)	P62874;Q6NZM9;P63213	Gnb1;Hdac4;Gng2
1677	G protein complex (Btk, Gng2, Gnb1)	P62874;P35991;P63213	Gnb1;Btk;Gng2
1678	FHL4/STX11-ACT complex	Q5TD97;O75558	FHL5;STX11
1679	SMAD4-SNO-SKI complex	Q13485;P12755;P12757	SMAD4;SKI;SKIL
1680	SKI-SMAD2 complex	Q15796;P12755	SMAD2;SKI
1681	SKI-SMAD3 complex	P12755;P84022	SKI;SMAD3
1682	SMAD4-SKI complex	Q13485;P12755	SMAD4;SKI
1683	Ship-Shc complex, IL-3 stimulated	Q9ES52;P98083	Inpp5d;Shc1
1684	Il3rb1-Shc-Ship complex, IL-3 stimulated	P26955;Q9ES52;P98083	Csf2rb;Inpp5d;Shc1
1685	Shc-Ship-Grb2 complex, IL-3 stimulated	Q60631;Q9ES52;P98083	Grb2;Inpp5d;Shc1
1686	SMAD2-SKI-NCOR complex	Q15796;P12755;O75376	SMAD2;SKI;NCOR1
1687	SMAD3-SKI-NCOR complex	P12755;P84022;O75376	SKI;SMAD3;NCOR1
1688	SMAD4-SKI-NCOR complex	Q13485;P12755;O75376	SMAD4;SKI;NCOR1
1689	LIN2-LIN7-SAP97-MINT1 complex	Q12959;O14936;Q02410;O14910	DLG1;CASK;APBA1;LIN7A
1690	LIN2-LIN7 complex	O14936;O14910	CASK;LIN7A
1691	LIN2-SAP97 complex	O14936;Q12959	CASK;DLG1
1692	Dlg3-Dlg1 complex	Q62696;Q62936	Dlg1;Dlg3
1693	Cask-Dlg1 complex	Q811D0;O70589	Dlg1;Cask
1694	Pax7-HMT complex	P47239;Q91X20;P61965;O08550	Pax7;Ash2l;Wdr5;Kmt2b
1695	ULBP1-KLRK1-HCST complex	P26718;Q9UBK5;Q9BZM6	KLRK1;HCST;ULBP1
1696	G protein complex (Mcf2l, Gnb1, Gng2)	P54311;Q63406;Q45QK6	Gnb1;Mcf2l;Gng2
1697	G protein complex (Kalrn, Gnb1, Gng2)	P97924;P54311;Q45QK6	Kalrn;Gnb1;Gng2
1698	G protein complex (CACNA1A, GNB1, GNG2)	P63212;P62871;A5ACB9	GNG2;GNB1;CACNA1A
1699	MAML2-RBP-Jkappa-Notch2 complex	Q04721;Q7TPU6;P31266	NOTCH2;Maml2;Rbpj
1700	MAML2-RBP-Jkappa-Notch3 complex	Q61982;Q7TPU6;P31266	Notch3;Maml2;Rbpj
1701	MAML2-RBP-Jkappa-Notch4 complex	Q99466;Q7TPU6;P31266	NOTCH4;Maml2;Rbpj
1702	MAML3-RBP-Jkappa-Notch1 complex	P46531;Q96JK9;P31266	NOTCH1;MAML3;Rbpj
1703	MAML3-RBP-Jkappa-Notch2 complex	Q04721;Q96JK9;P31266	NOTCH2;MAML3;Rbpj
1704	MAML3-RBP-Jkappa-Notch3 complex	Q69Z97;Q61982;P31266	Maml3;Notch3;Rbpj
1705	MAML3-RBP-Jkappa-Notch4 complex	Q99466;Q96JK9;P31266	NOTCH4;MAML3;Rbpj
1706	G protein complex (NME2, GNB1, GNGT1)	P02698;P62871;Q3T0Q4	GNGT1;GNB1;NME2
1707	NMDA receptor complex (NR2A, NR2B, NR1, PSD-95)	P31016;Q00960;Q00959;P35439	Dlg4;Grin2b;Grin2a;Grin1
1708	Cd74-Cd44 receptor complex	P04441;P15379	Cd74;Cd44
1709	Pick1-Pkca complex, TPA (tissue plasminogen activator) treated	Q9EP80;P05696	Pick1;Prkca
1710	Pick1-Glur2 complex	Q9EP80;P19491	Pick1;Gria2
1711	CDK9-IL6ST complex	P40189;P50750	IL6ST;CDK9
1712	Cdk9- Il6st complex	Q99J95;Q00560	Cdk9;Il6st
1713	Eps15-stonin2 complex	Q8WXE9;P42566	STON2;EPS15
1714	Hippocalcin-beta2-adaptin complex	P84076;P62944	Hpca;Ap2b1
1715	SMAD2-SMAD4-FAST1-TGIF complex, TGF(beta) induced	Q13485;Q15796;O75593;Q15583	SMAD4;SMAD2;FOXH1;TGIF1
1716	SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced	Q13485;Q15583;O75593;Q13547;Q15796	SMAD4;TGIF1;FOXH1;HDAC1;SMAD2
1717	PTF1 complex (Ptf1a, Tcf12, Rbpj)	Q61286;Q9QX98;P31266	Tcf12;Ptf1a;Rbpj
1718	Gria2-Grip1-Nsg1-Stx12 complex	P19491;P02683;G3V7P1;P97879	Gria2;Nsg1;Stx12;Grip1
1719	SCAMP1-SCAMP2-SCAMP3 complex	O14828;O15126;O15127	SCAMP3;SCAMP1;SCAMP2
1720	HERP1/HEY2-NCOR-SIN3A complex	Q9UBP5;Q96ST3;Q9Y618;Q13547	HEY2;SIN3A;NCOR2;HDAC1
1721	RB1-HDAC1-BRG1 complex	P51532;Q13547;P06400	SMARCA4;HDAC1;RB1
1722	Delta1 homodimer complex	O00548	DLL1
1723	Gamma-secretase-Delta1 complex	Q96BI3;Q9NZ42;O00548;P49768;Q92542	APH1A;PSENEN;DLL1;PSEN1;NCSTN
1724	GluR1-GluR2 complex	P19490;P19491	Gria1;Gria2
1725	D2 receptor-Nsf-GluR2 complex	P61169;P19491;Q9QUL6	Drd2;Gria2;Nsf
1726	SMN complex (GEMIN2, GEMIN3, GEMIN4, GEMIN5, SMN)	Q8TEQ6;O14893;Q9UHI6;P57678;Q16637	GEMIN5;GEMIN2;DDX20;GEMIN4;SMN1
1727	Ng2-Grip1-Glur2 complex	P23819;Q925T6;Q8VHY0	Gria2;Grip1;Cspg4
1728	SMN complex (GEMIN5,4,3), SMN-independent intermediate	Q8TEQ6;Q9UHI6;P57678	GEMIN5;DDX20;GEMIN4
1729	SMN complex (GEMIN6,7, UNRIP), SMN-independent intermediate	Q9H840;Q9Y3F4;Q8WXD5	GEMIN7;STRAP;GEMIN6
1730	SMN complex (GEMIN2,5, SMN)	Q8TEQ6;O14893;Q16637	GEMIN5;GEMIN2;SMN1
1731	NIAP homotetramer complex	Q13075	NAIP
1732	CCT-Pdcl complex	Q2NKZ1;F1MWD3;Q3T0K2;Q3ZBH0;Q2T9X2;Q3ZCI9;Q63737;Q3MHL7;Q32L40	CCT7;CCT5;CCT3;CCT2;CCT4;CCT8;Pdcl;CCT6A;TCP1
1733	B23-NPM3 complex	Q61937;Q9CPP0	Npm1;Npm3
1734	B23-NPM3 complex	Q61937;Q9CPP0	Npm1;Npm3
1735	Klf5-Pias1 complex	O88907;Q9Z0Z7	Pias1;Klf5
1736	BAX homo-oligomer complex	Q07812	BAX
1737	Tetrameric COG subcomplex	P83436;Q9UP83;Q9Y2V7;Q96MW5	COG7;COG5;COG6;COG8
1738	Binary COG subcomplex	P83436;Q9UP83	COG7;COG5
1739	COG1-COG8 subcomplex	Q8WTW3;Q96MW5	COG1;COG8
1740	Limd1-p62-Traf6-Prkcz complex	Q02956;P70196;Q64337;Q9QXD8	Prkcz;Traf6;Sqstm1;Limd1
1741	COG2-COG3-COG4 subcomplex	Q96JB2;Q14746;Q9H9E3	COG3;COG2;COG4
1742	COG5-COG6-COG7 subcomplex	P83436;Q9UP83;Q9Y2V7	COG7;COG5;COG6
1743	COG1-COG8-COG2-COG3-COG4 subcomplex	Q14746;Q9H9E3;Q96JB2;Q96MW5;Q8WTW3	COG2;COG4;COG3;COG8;COG1
1744	COG1-COG8-COG5-COG6-COG7 subcomplex	Q9Y2V7;P83436;Q9UP83;Q96MW5;Q8WTW3	COG6;COG7;COG5;COG8;COG1
1745	Traf6-p62-aPKC complex, RANK-L stimulated	P70196;Q62074;Q64337	Traf6;Prkci;Sqstm1
1746	Fgf2-Ck2 complex	P15655;P67871	Fgf2;Csnk2b
1747	Fgf2-Rsk2 complex	P15655;P18654	Fgf2;Rps6ka3
1748	GammaH2AFX-NDHII-Ku70-DNA complex	P12956;P16104;Q08211	XRCC6;H2AX;DHX9
1749	NR3C2-UBC9-SRC-1 complex	P63279;P08235;Q15788	UBE2I;NR3C2;NCOA1
1750	RIN1-STAM2-HRS complex	O75886;O14964;Q13671	STAM2;HGS;RIN1
1751	RIN1-STAM2-EGFR complex, EGF stimulated	O75886;P00533;Q13671	STAM2;EGFR;RIN1
1752	CHL2-BMP2 complex	Q6WN34;P12643	CHRDL2;BMP2
1753	CHL2-BMP2-TSG complex	Q6WN34;Q9GZX9;P12643	CHRDL2;TWSG1;BMP2
1754	Smad2-Smad4 complex	Q62432;P97471	Smad2;Smad4
1755	Smad3-Smad4 complex	Q8BUN5;P97471	Smad3;Smad4
1756	Pericentrin-GCP complex	Q9BSJ2;O95613;Q96CW5	TUBGCP2;PCNT;TUBGCP3
1757	Pericentrin-GCP complex	P58854;P48725;Q921G8	Tubgcp3;Pcnt;Tubgcp2
1758	SKI-SMAD2-SMAD4  pentameric complex	Q13485;P12755;Q15796	SMAD4;SKI;SMAD2
1759	SKI-SMAD3-SMAD4 complex	Q13485;P12755;P84022	SMAD4;SKI;SMAD3
1760	Slp5-Rab27A complex	Q9ERI2;Q80T23	Rab27a;Sytl5
1761	CREBBP-SMAD2 hexameric complex	Q15796;Q92793	SMAD2;CREBBP
1762	CREBBP-SMAD3 hexameric complex	P84022;Q92793	SMAD3;CREBBP
1763	CREBBP-SMAD2-SMAD4 pentameric complex	Q13485;Q15796;Q92793	SMAD4;SMAD2;CREBBP
1764	CREBBP-SMAD3-SMAD4 pentameric complex	Q13485;P84022;Q92793	SMAD4;SMAD3;CREBBP
1765	DRIP78-PHLP complex	Q6Y2X3;Q13371	DNAJC14;PDCL
1766	ADRB2 homodimer complex	P07550	ADRB2
1767	SP1-E2F1 complex	Q61501;O89090	E2f1;Sp1
1768	SP1-E2F2 complex	P08047;P56931	SP1;E2f2
1769	SP1-E2F3 complex	P08047;O35261	SP1;E2f3
1770	TCL1(trimer)-AKT1 complex	P56279;P31749	TCL1A;AKT1
1771	TCL1(trimer)-AKT2 complex	P56279;P31751	TCL1A;AKT2
1772	TCL1 homotrimer complex	P56279	TCL1A
1773	Rb-HDAC1 complex	Q13547;P06400	HDAC1;RB1
1774	Xin-Cdh2-Ctnnb1-Ctnnd1 complex	O70373;Q02248;P15116;P30999	Xirp1;Ctnnb1;Cdh2;Ctnnd1
1775	Abcg5-Abcg1 complex	Q64343;Q99PE8	Abcg1;Abcg5
1776	Abcg5-Abcg2 complex	Q99PE8;Q7TMS5	Abcg5;Abcg2
1777	Abcg5-Abcg4 complex	Q99PE8;Q91WA9	Abcg5;Abcg4
1778	Abcg8-Abcg4 complex	Q9DBM0;Q91WA9	Abcg8;Abcg4
1779	GABP(gamma)1-E2F1-DP1 complex	Q14186;Q8TAK5;Q01094	TFDP1;GABPB2;E2F1
1780	Grip-Glur2/3-liprin-alpha complex	Q91Z80;P19492;P19491;P97879	Ppfia4;Gria3;Gria2;Grip1
1781	Ternary complex (GATA4, SRF, MYOCD)	Q8IZQ8;P11831;P43694	MYOCD;SRF;GATA4
1782	Ternary complex (CCD1, Dvl, Rac)	P31750;P51141;Q155Q3	Akt1;Dvl1;DIXDC1
1783	CCD1-Axin complex	O35625;Q155Q3	Axin1;DIXDC1
1784	RAB11FIP1-RAB11A complex	P62491;Q6WKZ4	RAB11A;RAB11FIP1
1785	Beta-catenin-Cadherin-LAR complex	Q64604;Q9WU82;Q9Z1Y3	Ptprf;Ctnnb1;Cdh2
1786	MondoA-Mlx complex	Q3UPW8;O08609	Mlxip;Mlx
1787	Mlx-Mad1 complex	P50538;O08609	Mxd1;Mlx
1788	SMAD3-cSKI-SIN3A-HDAC1 complex	Q96ST3;P12755;P84022;Q13547	SIN3A;SKI;SMAD3;HDAC1
1789	Ubiquitin E3 ligase (SMURF2, SMAD2), TGF(beta)-dependent	U6DKX3;U6CZQ8	SMUF2;SMAD2
1790	Ubiquitin E3 ligase (SMURF2, SMAD3), TGF(beta)-dependent	U6DKX3;U6DTC6	SMUF2;SMAD3
1791	Ubiquitin E3 ligase (SMURF2, SMAD3) - SnoN complex, TGF(beta)-dependent	P84022;P12757;Q9HAU4	SMAD3;SKIL;SMURF2
1792	mTORC2 complex	P42345;Q9BVC4;Q6R327;Q9BPZ7	MTOR;MLST8;RICTOR;MAPKAP1
1793	ClpP complex, heptameric	Q16740	CLPP
1794	ClpP complex, heptameric	M0RAD5	Clpp
1795	ClpXP complex	Q5U2U0;M0RAD5	Clpx;Clpp
1796	ClpX complex, hexameric	O76031	CLPX
1797	ClpXP complex	O76031;Q16740	CLPX;CLPP
1798	ACTN1-PARVB complex	P12814;Q9HBI1	ACTN1;PARVB
1799	PAR4-BACE1 complex	P56817;Q96IZ0	BACE1;PAWR
1800	NEMO-HIF2(alpha)-ARNT complex	Q99814;P27540;Q9Y6K9	EPAS1;ARNT;IKBKG
1801	Axin-Dvl-Gsk complex	O35625;P51141;Q9WV60	Axin1;Dvl1;Gsk3b
1802	Axin1-Dvl1-Gsk3b-Frat1 complex	P70339;O35625;P51141;Q9WV60	Frat1;Axin1;Dvl1;Gsk3b
1803	Ubiquitin E3 ligase (CUL1, RBX1, SKP1)	Q13616;P62877;P63208	CUL1;RBX1;SKP1
1804	XRCC6-XRCC5-WRN complex	P12956;P13010;Q14191	XRCC6;XRCC5;WRN
1805	SMAD6-HOXC8 complex	P31273;O43541	HOXC8;SMAD6
1806	SMAD6-HOXA9 complex	P31269;O43541	HOXA9;SMAD6
1807	CTNNAL1-CTNNB1 complex	P35222;Q9UBT7	CTNNB1;CTNNAL1
1808	CTNNA1-CTNNB1 complex	P35222;P35221	CTNNB1;CTNNA1
1809	5'-AMP-activated protein kinase complex (AMPK)	Q09137;O54950;Q6PAM0	Prkaa2;Prkag1;Prkab2
1810	TSC (TSC1, TSC2, AXIN, GSK3) complex	Q92574;P49815;P49841;O15169	TSC1;TSC2;GSK3B;AXIN1
1811	HSP90-FKBP38-CAM-Ca(2+) complex	P07900;P62158;Q14318	HSP90AA1;CALM1;FKBP8
1812	DNM1L-FIS1 complex	Q9Y3D6;O00429	FIS1;DNM1L
1813	HNRNPU-NR3C1 complex	Q00839;P04150	HNRNPU;NR3C1
1814	EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I)	Q13347;O75821;P55884;Q14152	EIF3I;EIF3G;EIF3B;EIF3A
1815	EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)	Q14152;O75821;Q13347;P55884;Q99613	EIF3A;EIF3G;EIF3I;EIF3B;EIF3C
1816	EIF3 complex (EIF3B, EIF3G, EIF3I)	Q13347;O75821;P55884	EIF3I;EIF3G;EIF3B
1817	EIF3 complex (EIF3B, EIF3J, EIF3I)	Q13347;O75822;P55884	EIF3I;EIF3J;EIF3B
1818	EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)	Q14152;O75821;O75822;Q13347;P55884	EIF3A;EIF3G;EIF3J;EIF3I;EIF3B
1819	CBF-DNA complex	P23511;Q13952;P25208	NFYA;NFYC;NFYB
1820	p32-CBF-DNA complex	P23511;Q07021;Q13952;P25208	NFYA;C1QBP;NFYC;NFYB
1821	beta(1)-AR receptosome (ADRB1-SAP97-AKAP79-PRKAR2A)	P24588;P13861;P08588;Q12959	AKAP5;PRKAR2A;ADRB1;DLG1
1822	SVIP-VCP-DERL1 complex	Q9BUN8;P55072;Q8NHG7	DERL1;VCP;SVIP
1823	gp78-VCP-DERL1 complex	Q9UKV5;Q9BUN8;P55072	AMFR;DERL1;VCP
1824	VCP-VIMP-DERL1 complex	Q9BUN8;P55072;Q9BQE4	DERL1;VCP;SELENOS
1825	VCP-VIMP-DERL2 complex	Q9GZP9;P55072;Q9BQE4	DERL2;VCP;SELENOS
1826	VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex	Q86TM6;Q9BUN8;Q9UBV2;Q9GZP9;P55072;Q9BQE4	SYVN1;DERL1;SEL1L;DERL2;VCP;SELENOS
1827	Vcp homohexamer complex	Q01853	Vcp
1828	Cdk5-p39-CaMKII(alpha)-(alpha)actinin1 complex	Q03114;Q9Z1P2;P11275;F1M491	Cdk5;Actn1;Camk2a;Cdk5r2
1829	RB1(hypophosphorylated)-E2F4 complex	Q16254;P06400	E2F4;RB1
1830	CyclinD3-CDK4-CDK6 complex	P30281;Q00534;P11802	CCND3;CDK6;CDK4
1831	CyclinD3-CDK4-CDK6-p21 complex	P30281;Q00534;P11802;P38936	CCND3;CDK6;CDK4;CDKN1A
1832	p34(SEI-1)-CDK4-CyclinD2 complex	P11802;P30279;Q9UHV2	CDK4;CCND2;SERTAD1
1833	Trip(Br1)-Dp1-E2F1 complex	Q61501;Q9JL10;Q08639	E2f1;Sertad1;Tfdp1
1834	Trip(Br2)-Dp1-E2F1 complex	Q61501;Q08639;Q9JJG5	E2f1;Tfdp1;Sertad2
1835	RBL2 complex (DNMT1, E2F4, E2F5, HDAC1, SUV39H1, RBL2)	O43463;Q16254;Q08999;Q15329;Q13547;P26358	SUV39H1;E2F4;RBL2;E2F5;HDAC1;DNMT1
1836	RBL2 complex (E2F4, E2F5, HDAC1, SUV39H1, P300, RBL2)	O43463;Q16254;Q09472;Q08999;Q15329;Q13547	SUV39H1;E2F4;EP300;RBL2;E2F5;HDAC1
1837	p19-Cdk4 complex	Q60773;P30285	Cdkn2d;Cdk4
1838	p19-Cdk6 complex	Q60773;Q64261	Cdkn2d;Cdk6
1839	p18-Cdk4 complex	P30285;Q60772	Cdk4;Cdkn2c
1840	p18-Cdk6 complex	Q60772;Q64261	Cdkn2c;Cdk6
1841	DCS complex (Ptbp1, Ptbp2, Hnrph1, Hnrpf)	Q9Z2X1;P17225;Q91Z31;O35737	Hnrnpf;Ptbp1;Ptbp2;Hnrnph1
1842	E2F1-p107-cyclinA complex	P28749;Q01094;P20248	RBL1;E2F1;CCNA2
1843	p19-Cdk4-cyclinD2 complex	P30280;Q60773;P30285	Ccnd2;Cdkn2d;Cdk4
1844	RB1-TFAP2A complex	P05549;P06400	TFAP2A;RB1
1845	Nsf-Stx1a-Napa complex	P54921;Q9QUL6;P32851	Napa;Nsf;Stx1a
1846	Nsf-Stx1a-NAPG complex	Q99747;Q9QUL6;P32851	NAPG;Nsf;Stx1a
1847	CTFC-TAF1 complex	Q01105;P49711	SET;CTCF
1848	CTCF-nucleophosmin complex	P49711;P06748	CTCF;NPM1
1849	Smarca2-Smarce1-Mecp2 complex	Q9Z2D6;O54941;Q3TKT4	Mecp2;Smarce1;Smarca4
1850	E2F4-p107-cyclinE complex	P28749;Q16254;P24864	RBL1;E2F4;CCNE1
1851	E2F4-p130 complex	Q08999;Q16254	RBL2;E2F4
1852	ELK1-SRF-ELK3 complex	P19419;P11831;P41970	ELK1;SRF;ELK3
1853	AP1G1-PACS1-FURIN complex	P09958;O43747;Q6VY07	FURIN;AP1G1;PACS1
1854	C3G-Crkl-Shp2 complex	P41499;Q9QYV3;Q5U2U2	Ptpn11;c3g;Crkl
1855	C3G-Crkl-Shp2-Cbl-Egfr complex	P41499;Q9QYV3;P22682;Q9QX70;Q5U2U2	Ptpn11;c3g;Cbl;Egfr;Crkl
1856	C3G-Crkl-Shp2-Gab2-TrkA complex	P41499;Q9QYV3;P35739;Q9EQH1;Q5U2U2	Ptpn11;c3g;Ntrk1;Gab2;Crkl
1857	SH3KBP1-CBLB-EGFR complex	Q96B97;P00533;Q13191	SH3KBP1;EGFR;CBLB
1858	Sh3kbp1-Cblb-Egfr complex	Q3TTA7;Q01279;Q8R550	Cblb;Egfr;Sh3kbp1
1859	Sh3kbp1-Cblb-Pdgfrb complex	Q3TTA7;P05622;Q8R550	Cblb;Pdgfrb;Sh3kbp1
1860	Smarcb1-Smarca2-Mecp2 complex	Q9Z2D6;Q9Z0H3;Q99KH6	Mecp2;Smarcb1;Smarca2
1861	SWI/SNF-related chromatin-remodeling complex (Brm-based)	Q60520;Q9Z0H3;Q9Z2D6;O54941;P97496;P70288;Q3UX55	Sin3a;Smarcb1;Mecp2;Smarce1;Smarcc1;Hdac2;Smarca2
1862	MGC1-DNA-PKcs-Ku complex	P78527;Q14676;P12956;P13010	PRKDC;MDC1;XRCC6;XRCC5
1863	Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)	P14923;P56945;Q9Y490;P12830;P35222;P98161;P12814;P18206;P49023;P12931;Q05397	JUP;BCAR1;TLN1;CDH1;CTNNB1;PKD1;ACTN1;VCL;PXN;SRC;PTK2
1864	JAK2-PAFR-TYK2 complex	O60674;P29597;P25105	JAK2;TYK2;PTAFR
1865	NCOA6-DNA-PK-Ku-PARP1 complex	P78527;P12956;P13010;P09874;Q14686	PRKDC;XRCC6;XRCC5;PARP1;NCOA6
1866	DNA-PK-Ku-eIF2-NF90-NF45 complex	P78527;P41091;Q12905;P12956;P20042;P13010;P05198;Q12906	PRKDC;EIF2S3;ILF2;XRCC6;EIF2S2;XRCC5;EIF2S1;ILF3
1867	SWI/SNF-related chromatin-remodeling complex	P51608;P51531;Q969G3;Q13547;Q96ST3	MECP2;SMARCA2;SMARCE1;HDAC1;SIN3A
1868	Hdac2-Mecp2-Sin3a-Smarca2 complex	Q60520;P70288;Q9Z2D6;Q3UX55	Sin3a;Hdac2;Mecp2;Smarca2
1869	YWHAQ-CALM1-CABIN1 complex	P62158;P27348;Q9Y6J0	CALM1;YWHAQ;CABIN1
1870	TIAM1-EFNB1-EPHA2 complex	P98172;Q13009;P29317	EFNB1;TIAM1;EPHA2
1871	Ezh2 methyltransferase complex, cytosolic	O75530;Q61188;Q15022	EED;Ezh2;SUZ12
1872	Tiam1-Efnb1-Epha2 complex	Q60610;P52795;Q03145	Tiam1;Efnb1;Epha2
1873	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)	O15111;Q01201;Q04206;Q9Y6K9;O00221;P19838;Q8NFZ5;Q04864;Q15653;P25963;O00505;Q00653	CHUK;RELB;RELA;IKBKG;NFKBIE;NFKB1;TNIP2;REL;NFKBIB;NFKBIA;KPNA3;NFKB2
1874	TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)	O15111;Q969H0;Q04206;Q99558;Q9Y6K9;O15027;O14920;Q04864;O75604;Q00653	CHUK;FBXW7;RELA;MAP3K14;IKBKG;SEC16A;IKBKB;REL;USP2;NFKB2
1875	PTIP-HMT complex	Q9BTK6;Q9UBL3;Q9C005;Q15291;P61964;Q6ZW49;Q8NEZ4;Q9UMN6;Q14686;O15550	PAGR1;ASH2L;DPY30;RBBP5;WDR5;PAXIP1;KMT2C;KMT2B;NCOA6;KDM6A
1876	TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)	O15111;Q04206;P63208;Q14164;O00743;Q04864;O15084;Q9UPN7;Q9Y297;Q00653;Q13616;O75170	CHUK;RELA;SKP1;IKBKE;PPP6C;REL;ANKRD28;PPP6R1;BTRC;NFKB2;CUL1;PPP6R2
1877	PTIP-DNA damage response complex	Q12888;P54132;O60934;P49959;Q6ZW49;Q92878	TP53BP1;BLM;NBN;MRE11;PAXIP1;RAD50
1878	CBP-RARA-RXRA-DNA complex, ligand stimulated	Q92793;P19793;P10276	CREBBP;RXRA;RARA
1879	Kinase maturation complex 1	P61981;P27348;P34932;P63104;Q9NUG6;Q9UHV9;P07900;P31946;Q13163;Q6Q0C0;Q7KZI7;P62258;Q04917;Q99759;P08238;Q16543	YWHAG;YWHAQ;HSPA4;YWHAZ;PDRG1;PFDN2;HSP90AA1;YWHAB;MAP2K5;TRAF7;MARK2;YWHAE;YWHAH;MAP3K3;HSP90AB1;CDC37
1880	Pentraxin complex	P47971;P47972;O35764;Q62703	Nptx1;NPTX2;Nptxr;Rcn2
1881	Ubiquilin-proteasome complex	Q9UMX0;Q05086;P25786;P25787;P60900;Q9UHD9	UBQLN1;UBE3A;PSMA1;PSMA2;PSMA6;UBQLN2
1882	TANK-TRAF2-TRAF3 complex	Q92844;Q12933;Q13114	TANK;TRAF2;TRAF3
1883	RAF1-PPP2-PIN1 complex	P63151;Q13526;P04049;P30153;P62714	PPP2R2A;PIN1;RAF1;PPP2R1A;PPP2CB
1884	Kinase maturation complex 2	A7MCY6;Q92844;Q9UHD2;P07900;P08238;Q12933;Q9H6S1;Q16543	TBKBP1;TANK;TBK1;HSP90AA1;HSP90AB1;TRAF2;AZI2;CDC37
1885	Pex26-Pex6-Pex1 complex	O43933;Q7Z412;Q13608	PEX1;PEX26;PEX6
1886	CS-MAP3K7IP1-MAP3K7IP2 complex	Q9NYJ8;O75390;Q15750	TAB2;CS;TAB1
1887	Calreticulin homo-oligomer complex	P27797	CALR
1888	CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex	O15111;Q8NFZ5;Q9ULX6;Q13576;Q04206	CHUK;TNIP2;AKAP8L;IQGAP2;RELA
1889	p14-Mp1-MEK1 complex	Q02750;Q9Y2Q5;Q9UHA4	MAP2K1;LAMTOR2;LAMTOR3
1890	Casein kinase II (beta-dimer, alpha'-dimer)	P19784;P67870	CSNK2A2;CSNK2B
1891	Casein kinase II (beta-dimer, alpha-dimer)	P68400;P67870	CSNK2A1;CSNK2B
1892	p14-Mp1-ERK2 complex	Q9Y2Q5;Q9UHA4;P28482	LAMTOR2;LAMTOR3;MAPK1
1893	p14-Mp1-Erk1/2 complex	Q63844;P63085;O88653;Q9JHS3	Mapk3;Mapk1;Lamtor3;Lamtor2
1894	REL-MAP3K8-RELA-TNIP2-PAPOLA complex	Q8NFZ5;Q04864;P41279;P51003;Q04206	TNIP2;REL;MAP3K8;PAPOLA;RELA
1895	RPA complex	P35244;P15927;P27694	RPA3;RPA2;RPA1
1896	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex	O15111;O60271;Q04206;Q9Y6K9;O00221;P19838;Q8NFZ5;Q04864;P35606;P25963;Q00653;Q15025	CHUK;SPAG9;RELA;IKBKG;NFKBIE;NFKB1;TNIP2;REL;COPB2;NFKBIA;NFKB2;TNIP1
1897	53BP1-containing complex	Q12888;P12956;P13010;P15927;P27694	TP53BP1;XRCC6;XRCC5;RPA2;RPA1
1898	TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)	O15111;Q01201;Q04206;Q92896;Q9Y6K9;P19838;Q8NFZ5;Q04864;Q15653;P25963;P41279;P62888;O00571;Q02878;P62277;Q00653;P78347	CHUK;RELB;RELA;GLG1;IKBKG;NFKB1;TNIP2;REL;NFKBIB;NFKBIA;MAP3K8;RPL30;DDX3X;RPL6;RPS13;NFKB2;GTF2I
1899	TNF-alpha/NF-kappa B signaling complex 5	O15446;P23508;Q04864;Q15653;P46199;P63208;Q9UJF2;P19838;P62875;P52292;O15111;Q16342;Q9GZS1;O95602;O14920;Q13576;Q13616;Q9Y2S0;Q04206;Q9Y6K9;P42704;Q9H9Y6;P52434;Q9UKB1;Q00653	POLR1G;MCC;REL;NFKBIB;MTIF2;SKP1;RASAL2;NFKB1;POLR2L;KPNA2;CHUK;PDCD2;POLR1E;POLR1A;IKBKB;IQGAP2;CUL1;POLR1D;RELA;IKBKG;LRPPRC;POLR1B;POLR2H;FBXW11;NFKB2
